user_id,total_questions,total_correct_solutions,number_algebra_mistakes,number_trigonometry_mistakes,number_reading_mistakes,number_working_with_formulas_mistakes,course_recommend
1,38,15,4,33,1,3,Курс по тригонометрии
2,23,14,14,1,1,1,Курс по олимпиадной геометрии
3,12,4,4,3,1,0,Sleep and recover more. You are best!
4,44,43,0,1,0,0,Sleep and recover more. You are best!
5,22,4,4,23,0,0,Курс по тригонометрии
6,6,2,4,0,0,0,Курс по алгебре
7,46,12,4,9,16,39,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
8,9,0,12,0,1,0,Курс по алгебре
9,12,9,2,0,0,2,Курс по логическому мышлению и математике для начинающих
10,26,14,0,25,0,0,Курс по тригонометрии
11,23,0,7,8,1,7,Sleep and recover more. You are best!
12,45,11,6,18,2,3,Курс по тригонометрии
13,37,2,0,6,23,2,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
14,15,2,1,10,15,2,"Курс по тригонометрии, Курс по улучшению внимательности"
15,46,22,2,23,7,1,Курс по тригонометрии
16,25,8,16,10,3,1,"Курс по тригонометрии, Курс по алгебре"
17,30,22,1,0,0,6,Курс по логическому мышлению и математике для начинающих
18,6,0,6,5,0,0,"Курс по тригонометрии, Курс по алгебре"
19,35,6,4,2,10,29,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
20,1,1,0,0,0,0,Курс по олимпиадной геометрии
21,4,0,0,3,0,2,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
22,11,9,1,0,1,0,"Курс по олимпиадной алгебре, Курс по улучшению внимательности"
23,36,28,1,12,0,0,"Курс по олимпиадной алгебре, Курс по тригонометрии"
24,34,33,0,0,0,2,Sleep and recover more. You are best!
25,7,5,2,0,0,1,Курс по логическому мышлению и математике для начинающих
26,36,14,9,3,12,16,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
27,1,1,0,0,0,0,Sleep and recover more. You are best!
28,25,0,7,44,1,0,Курс по тригонометрии
29,24,13,0,6,0,4,Курс по тригонометрии
30,44,42,0,1,0,0,Sleep and recover more. You are best!
31,14,5,1,0,9,0,Курс по улучшению внимательности
32,27,19,0,0,1,5,Курс по логическому мышлению и математике для начинающих
33,50,22,28,14,9,3,"Курс по улучшению внимательности, Курс по алгебре"
34,3,3,0,0,0,0,Sleep and recover more. You are best!
35,50,1,3,0,48,3,Курс по улучшению внимательности
36,20,8,7,6,0,3,Курс по алгебре
37,29,12,10,1,5,1,Курс по алгебре
38,35,15,4,2,2,28,Курс по логическому мышлению и математике для начинающих
39,15,2,5,0,8,1,Курс по улучшению внимательности
40,14,5,1,4,1,12,"Курс по олимпиадной геометрии, Курс по логическому мышлению и математике для начинающих"
41,18,0,1,0,28,10,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
42,29,4,1,2,48,2,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
43,27,18,5,6,1,0,Курс по тригонометрии
44,28,27,0,0,0,0,Sleep and recover more. You are best!
45,5,0,4,1,0,2,"Курс по олимпиадной геометрии, Курс по алгебре"
46,37,3,0,16,1,19,Курс по логическому мышлению и математике для начинающих
47,8,1,4,2,1,0,Курс по алгебре
48,28,14,9,0,7,7,"Курс по улучшению внимательности, Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
49,18,6,8,6,4,6,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по алгебре, Курс по логическому мышлению и математике для начинающих"
50,15,3,6,0,2,12,Курс по логическому мышлению и математике для начинающих
51,19,13,7,0,1,0,Sleep and recover more. You are best!
52,9,2,2,1,0,2,Sleep and recover more. You are best!
53,17,17,0,0,0,0,Sleep and recover more. You are best!
54,35,34,1,1,0,0,Курс по олимпиадной алгебре
55,13,5,0,3,7,0,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
56,12,1,10,4,2,0,"Курс по олимпиадной геометрии, Курс по алгебре"
57,12,1,8,5,0,2,"Курс по олимпиадной геометрии, Курс по алгебре"
58,2,2,0,0,0,0,Sleep and recover more. You are best!
59,29,28,0,0,0,0,Курс по олимпиадной геометрии
60,41,23,1,15,1,14,"Курс по тригонометрии, Курс по логическому мышлению и математике для начинающих"
61,44,20,37,0,0,0,Курс по алгебре
62,1,0,1,0,0,0,Курс по алгебре
63,35,3,18,14,23,0,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по алгебре"
64,37,32,0,3,6,1,"Курс по тригонометрии, Курс по улучшению внимательности"
65,17,17,0,0,0,0,Sleep and recover more. You are best!
66,4,0,1,0,0,2,Курс по логическому мышлению и математике для начинающих
67,2,0,0,0,1,0,Курс по улучшению внимательности
68,36,16,1,1,25,9,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
69,30,21,0,0,16,1,Курс по улучшению внимательности
70,26,25,0,0,0,0,Sleep and recover more. You are best!
71,19,8,4,6,3,4,Курс по тригонометрии
72,44,28,0,0,2,13,Курс по логическому мышлению и математике для начинающих
73,5,4,0,0,0,1,Курс по логическому мышлению и математике для начинающих
74,45,16,7,46,0,2,Курс по тригонометрии
75,6,2,4,0,0,1,Курс по алгебре
76,30,28,1,1,1,0,"Курс по олимпиадной геометрии, Курс по олимпиадной алгебре"
77,38,13,6,6,10,16,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
78,16,15,0,0,0,1,Sleep and recover more. You are best!
79,4,1,1,0,1,1,Курс по улучшению внимательности
80,42,6,7,23,14,2,"Курс по тригонометрии, Курс по улучшению внимательности"
81,4,1,0,0,1,1,Курс по улучшению внимательности
82,46,8,6,23,1,8,Курс по тригонометрии
83,36,1,9,10,10,7,Sleep and recover more. You are best!
84,10,5,0,3,1,2,Курс по тригонометрии
85,19,13,2,5,3,0,"Курс по олимпиадной алгебре, Курс по тригонометрии, Курс по улучшению внимательности"
86,32,12,0,33,3,4,Курс по тригонометрии
87,34,21,11,4,5,6,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
88,24,24,0,0,0,0,Sleep and recover more. You are best!
89,26,22,1,3,3,0,"Курс по олимпиадной алгебре, Курс по тригонометрии, Курс по улучшению внимательности"
90,27,3,9,3,13,26,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
91,43,39,0,0,7,0,Sleep and recover more. You are best!
92,49,10,18,11,9,0,Sleep and recover more. You are best!
93,18,3,10,6,3,2,Курс по алгебре
94,14,13,0,0,0,0,Sleep and recover more. You are best!
95,39,22,2,14,8,5,"Курс по тригонометрии, Курс по улучшению внимательности"
96,42,14,16,4,10,2,"Курс по улучшению внимательности, Курс по алгебре"
97,30,4,22,2,2,1,Курс по алгебре
98,30,8,8,0,9,28,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
99,5,2,0,1,1,4,"Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
100,45,45,0,0,0,0,"Курс по олимпиадной геометрии, Курс по олимпиадной алгебре"
101,40,33,0,3,8,2,Курс по улучшению внимательности
102,13,6,9,1,0,1,"Курс по олимпиадной геометрии, Курс по алгебре"
103,50,24,8,11,18,3,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
104,19,11,0,1,6,7,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
105,6,0,1,1,1,3,Курс по логическому мышлению и математике для начинающих
106,45,5,53,2,1,16,Курс по алгебре
107,35,4,1,5,10,37,"Курс по олимпиадной геометрии, Курс по улучшению внимательности, Курс по логическому мышлению и математике для начинающих"
108,45,4,8,10,0,40,Курс по логическому мышлению и математике для начинающих
109,44,27,3,6,0,5,Курс по олимпиадной геометрии
110,41,12,14,7,11,2,"Курс по олимпиадной геометрии, Курс по улучшению внимательности"
111,47,23,0,0,42,2,Курс по улучшению внимательности
112,19,19,0,0,0,0,Курс по олимпиадной алгебре
